entity	type	rank_sampling	rank_passive	rank_diff	upgrade_score
Amintore_Fanfani	wikicat_Presidents_of_the_Italian_Senate	94	44	50	1.1363636363636365
Subrahmanyan_Chandrasekhar	wikicat_American_astronomers	948	444	504	1.135135135135135
Roberto_Benigni	wikicat_Italian_stage_actors	17	8	9	1.125
A.F.C._Hornchurch	wikicat_Football_clubs_in_London	839	395	444	1.1240506329113924
Ikechi_Anya	wikicat_Northampton_Town_F.C._players	361	170	191	1.1235294117647059
John_Fraser_(footballer_born_1876)	wikicat_Motherwell_F.C._players	286	135	151	1.1185185185185185
Joshua_Jackson	wikicat_American_comics_writers	12632	5969	6663	1.1162673814709332
CS_Sedan_Ardennes	wikicat_Football_clubs_in_France	55	26	29	1.1153846153846154
San_Antonio	wikicat_County_seats_in_Texas	19	9	10	1.1111111111111112
Jimmy_Carter	wikicat_Sons_of_the_American_Revolution	276	131	145	1.1068702290076335
Omusati_Region	wikicat_Subdivisions_of_Namibia	16483	7825	8658	1.1064536741214057
G._K._Chesterton	wikicat_Converts_to_Roman_Catholicism_from_Anglicanism	10290	4888	5402	1.1051554828150574
Jamil_Fearrington	wordnet_artist_109812338	1509	717	792	1.104602510460251
Konstanz	wikicat_Borders_of_Germany	9335	4436	4899	1.1043733092876464
Le_Havre_AC	wordnet_club_108227214	404	192	212	1.1041666666666667
Denis_Leary	wordnet_comedian_109940146	21	10	11	1.1
Osamu_Tezuka	wikicat_Anime_screenwriters	21	10	11	1.1
Stephen_Dorff	wikicat_American_people_of_Jewish_descent	287	137	150	1.094890510948905
Matt_Carmichael_(footballer)	wikicat_Lincoln_City_F.C._players	23	11	12	1.0909090909090908
Keijo_Huusko	wikicat_Tromsø_IL_players	1132	542	590	1.088560885608856
Sigmund_Freud	wikicat_Austrian_atheists	25	12	13	1.0833333333333333
Sigmund_Freud	wikicat_Medical_writers	1361	655	706	1.0778625954198473
Glen_Moss	wikicat_FC_Dinamo_București_players	10889	5242	5647	1.0772605875619992
Jack_Reynolds_(footballer_born_1881)	wikicat_AFC_Ajax_managers	27	13	14	1.0769230769230769
George_Abbott	wikicat_Harvard_University_alumni	162	78	84	1.0769230769230769
Aarón_Ñíguez	wikicat_Recreativo_de_Huelva_footballers	110	53	57	1.0754716981132075
Gary_Moore	wikicat_British_people	87	42	45	1.0714285714285714
Cédric_Roussel	wikicat_Expatriate_footballers_in_Italy	29	14	15	1.0714285714285714
Miranda_Cooper	wikicat_British_female_singers	1973	954	1019	1.0681341719077568
Collins_John	wikicat_Pittsburgh_Riverhounds_players	347	168	179	1.0654761904761905
Éder_Aleixo_de_Assis	wikicat_Clube_Atlético_Paranaense_players	64	31	33	1.064516129032258
Bernardo_Tengarrinha	wikicat_C.D._Santa_Clara_players	33	16	17	1.0625
Steven_Spielberg	wikicat_Distinguished_Eagle_Scouts	7116	3457	3659	1.0584321666184553
Elmore_Leonard	wikicat_Writers_from_Detroit,_Michigan	1639	798	841	1.0538847117794485
Kafoumba_Coulibaly	wikicat_Chonburi_F.C._players	738	360	378	1.05
K.S.K._Beveren	wikicat_Association_football_clubs_established_in_1934	123	60	63	1.05
Santiago_Raymonda	wikicat_Quilmes_footballers	336	164	172	1.048780487804878
Modeste_M'bami	wikicat_Footballers_at_the_2000_Summer_Olympics	298	146	152	1.0410958904109588
Dorinel_Munteanu	wikicat_Romanian_expatriates_in_Belgium	100	49	51	1.0408163265306123
Micky_Adams	wikicat_Southampton_F.C._players	55	27	28	1.037037037037037
Vital_Lyadzyanyow	wikicat_Expatriate_footballers_in_Moldova	79	39	40	1.0256410256410255
Meryl_Streep	wikicat_Vassar_College_alumni	3115	1545	1570	1.0161812297734627
Joel_Soto	wikicat_Deportes_Concepción_footballers	2407	1200	1207	1.0058333333333334
Subrahmanyan_Chandrasekhar	wikicat_20th-century_astronomers	806	402	404	1.0049751243781095
Leicester	wordnet_site_108651247	4	2	2	1.0
AS_Saint-Étienne	wordnet_club_108227214	2	1	1	1.0
Carlos_Gamarra	wikicat_2002_FIFA_World_Cup_players	2	1	1	1.0
Chris_Coyne	wikicat_Perth_Glory_FC_players	4	2	2	1.0
Robert_Rodriguez	wikicat_American_film_producers	4	2	2	1.0
Alfred_Hörtnagl	wikicat_Austria_international_footballers	4	2	2	1.0
Collins_John	wikicat_Expatriate_footballers_in_England	4	2	2	1.0
Qingdao	wikicat_Sub-provincial_cities_in_the_People's_Republic_of_China	2	1	1	1.0
Vlatko_Marković	wikicat_GNK_Dinamo_Zagreb_managers	4	2	2	1.0
Diego_Perrone	wikicat_Uruguayan_footballers	4	2	2	1.0
Ravenna_F.C.	wikicat_Serie_B_clubs	2	1	1	1.0
Amartya_Sen	wordnet_economist_110043643	4	2	2	1.0
Ajax_Cape_Town_F.C.	wikicat_Premier_Soccer_League_clubs	4	2	2	1.0
Andriy_Kruhlyak	wikicat_Living_people	2	1	1	1.0
Allan_Nielsen	wikicat_Herfølge_Boldklub_players	2	1	1	1.0
Luxembourg	wikicat_Germanic_countries_and_territories	2	1	1	1.0
Rosemary_Clooney	wikicat_People_from_Los_Angeles,_California	4	2	2	1.0
Edinburgh_Airport	wordnet_airport_102692232	2	1	1	1.0
Asrani	wikicat_Indian_film_directors	2	1	1	1.0
Dorin_Goian	wikicat_Expatriate_footballers_in_Greece	2	1	1	1.0
Živan_Ljukovčan	wikicat_Association_football_goalkeepers_who_have_scored	4	2	2	1.0
Julio_Bevacqua	wikicat_Expatriate_footballers_in_Greece	2	1	1	1.0
Bănel_Nicoliță	wikicat_Expatriate_footballers_in_France	4	2	2	1.0
Victoria_(British_Columbia)	wikicat_Populated_coastal_places_in_Canada	2	1	1	1.0
Paul_Dickov	wikicat_Scottish_footballers	2	1	1	1.0
Málaga	wordnet_administrative_district_108491826	2	1	1	1.0
Robert_Silverberg	wikicat_American_writers	2	1	1	1.0
Sandro_Calabro	wikicat_Eredivisie_players	2	1	1	1.0
Lionel_Jospin	wikicat_French_socialists	4	2	2	1.0
Hòa_Bình_Province	wikicat_Provinces_of_Vietnam	4	2	2	1.0
Džoni_Novak	wikicat_Expatriate_footballers_in_France	4	2	2	1.0
San_Pablo_Airport	wikicat_Airports_in_Europe	4	2	2	1.0
Brooke_Shields	wikicat_21st-century_actors	2	1	1	1.0
F.C._Barreirense	wikicat_Football_clubs_in_Portugal	2	1	1	1.0
Barack_Obama	wikicat_Nobel_Peace_Prize_laureates	2	1	1	1.0
Tanya_Tucker	wordnet_artist_109812338	2	1	1	1.0
South_Carolina	wikicat_States_of_the_Confederate_States_of_America	2	1	1	1.0
Kim_Nam-il	wikicat_Expatriate_footballers_in_Japan	2	1	1	1.0
Golden_Globe_Award	wikicat_American_television_awards	2	1	1	1.0
Udinese_Calcio	wikicat_Football_clubs_in_Italy	2	1	1	1.0
Gerard_Butler	wikicat_British_people	2	1	1	1.0
Fritz_Lang	wikicat_American_screenwriters	2	1	1	1.0
Emeryville,_California	wikicat_Incorporated_cities_and_towns_in_California	2	1	1	1.0
Émile_Mpenza	wikicat_Swiss_Super_League_players	4	2	2	1.0
Faith_Evans	wikicat_American_singers	2	1	1	1.0
Marcinho_Guerreiro	wikicat_Goiás_Esporte_Clube_players	2	1	1	1.0
Northern_Region,_Ghana	wikicat_Regions_of_Ghana	2	1	1	1.0
Viggo_Mortensen	wikicat_People_from_New_York_City	2	1	1	1.0
Louis_XV_of_France	wikicat_French_people	2	1	1	1.0
Nainital_district	wikicat_Districts_of_Uttarakhand	2	1	1	1.0
Geelong	wikicat_Towns_in_Victoria_(Australia)	2	1	1	1.0
Alojz_Rebula	wikicat_Slovenian_dramatists_and_playwrights	2	1	1	1.0
Wydad_Casablanca	wikicat_Football_clubs_in_Morocco	2	1	1	1.0
Subrahmanyan_Chandrasekhar	wikicat_20th-century_mathematicians	2	1	1	1.0
Akaki_Devadze	wikicat_Georgia_(country)_international_footballers	2	1	1	1.0
Richmond_Boakye	wikicat_People_from_Accra	2	1	1	1.0
FC_Steaua_București	wikicat_Liga_I_clubs	2	1	1	1.0
Brisbane_Roar_FC	wordnet_club_108227214	2	1	1	1.0
Terence_McKenna	wikicat_20th-century_American_writers	2	1	1	1.0
Keanu_Reeves	wikicat_Canadian_people_of_Irish_descent	2	1	1	1.0
Hilary_Duff	wikicat_21st-century_American_actresses	2	1	1	1.0
William_Golding	wikicat_British_writers	2	1	1	1.0
Dublin	wikicat_County_towns_in_the_Republic_of_Ireland	2	1	1	1.0
Italian_Campaign_(World_War_II)	wordnet_conflict_100958896	2	1	1	1.0
Suwałki_County	wikicat_Land_counties_of_Podlaskie_Voivodeship	2	1	1	1.0
Panhellenic_Socialist_Movement	wikicat_Social_democratic_parties	2	1	1	1.0
Veghel	wikicat_Cities_in_the_Netherlands	2	1	1	1.0
Tony_Bennett	wikicat_American_singers	2	1	1	1.0
Nobles_County,_Minnesota	wordnet_county_108546183	2	1	1	1.0
Ernest_Rutherford	wikicat_20th-century_physicists	2	1	1	1.0
Tommy_Gaynor	wikicat_Cork_City_F.C._players	2	1	1	1.0
Dorin_Goian	wikicat_Romanian_footballers	2	1	1	1.0
Damián_Manso	wikicat_Expatriate_footballers_in_Mexico	2	1	1	1.0
Luis_García_(footballer,_born_1978)	wikicat_Spain_international_footballers	10	5	5	1.0
Kjetil_Wæhler	wikicat_Norwegian_footballers	2	1	1	1.0
Steven_Weinberg	wikicat_Jewish_physicists	2	1	1	1.0
Kerala_State_Film_Award	wikicat_Indian_film_awards	10	5	5	1.0
A.S.G._Nocerina	wikicat_Lega_Pro_Prima_Divisione_clubs	2	1	1	1.0
Roger_Glover	wikicat_British_composers	26	13	13	1.0
University_of_Rhode_Island	wikicat_Flagship_universities_in_the_United_States	2	1	1	1.0
Tam_McManus	wikicat_Scottish_Premier_League_players	2	1	1	1.0
Emeryville,_California	wordnet_administrative_district_108491826	2	1	1	1.0
Alicia_Silverstone	wikicat_American_television_actors	2	1	1	1.0
Jared_Borgetti	wikicat_C.F._Pachuca_footballers	2	1	1	1.0
Reinaldo_da_Cruz_Oliveira	wikicat_Suwon_Samsung_Bluewings_players	6	3	3	1.0
Charleston_Battery	wikicat_Soccer_clubs_in_the_United_States	2	1	1	1.0
Kathy_Bates	wikicat_20th-century_actresses	2	1	1	1.0
László_Klausz	wikicat_Hungarian_footballers	2	1	1	1.0
Marburg	wikicat_University_towns_in_Germany	2	1	1	1.0
Frances_Goodrich	wikicat_American_people	2	1	1	1.0
Nicaragua	wikicat_States_and_territories_established_in_1821	2	1	1	1.0
Bernie_Mac	wikicat_American_people	2	1	1	1.0
Kuwait_City	wikicat_Port_cities_and_towns_of_the_Persian_Gulf	8	4	4	1.0
Sport_Boys	wordnet_club_108227214	2	1	1	1.0
Amy_Adams	wikicat_21st-century_American_actresses	2	1	1	1.0
Julianne_Moore	wikicat_21st-century_American_actresses	2	1	1	1.0
Matthew_Broderick	wikicat_21st-century_American_actors	2	1	1	1.0
Alex_Bruce_(footballer,_born_1984)	wikicat_Premier_League_players	2	1	1	1.0
Châtenay-Malabry	wikicat_Communes_of_Hauts-de-Seine	2	1	1	1.0
Kiki_Musampa	wikicat_Ligue_1_players	2	1	1	1.0
Kosovo	wordnet_country_108544813	2	1	1	1.0
Montrouge	wikicat_Communes_of_Hauts-de-Seine	2	1	1	1.0
Szczecin	wikicat_Port_cities	2	1	1	1.0
Sergey_Timofeev	wikicat_Kazakhstani_footballers	2	1	1	1.0
Kingdom_of_Bavaria	wikicat_States_of_the_German_Confederation	2	1	1	1.0
Gene_Kelly	wikicat_American_male_film_actors	2	1	1	1.0
Milan_Purović	wikicat_Ukrainian_Premier_League_players	2	1	1	1.0
Dumitru_Mitu	wikicat_Expatriate_footballers_in_Greece	2	1	1	1.0
Elmore_Leonard	wikicat_American_mystery_writers	2	1	1	1.0
Madeleine_Carroll	wikicat_English_film_actresses	2	1	1	1.0
Southampton_F.C.	wikicat_Football_League_Championship_clubs	8	4	4	1.0
Baie-Comeau	wikicat_Cities_and_towns_in_Quebec	2	1	1	1.0
Srgjan_Zaharievski	wikicat_Macedonian_expatriate_footballers	2	1	1	1.0
Kamel_Larbi	wikicat_Ligue_1_players	2	1	1	1.0
Silviu_Izvoranu	wikicat_Romanian_footballers	2	1	1	1.0
C._S._Lewis	wikicat_English-language_writers	2	1	1	1.0
Bozhidar_Iskrenov	wikicat_People_from_Sofia	2	1	1	1.0
IF_Björklöven	wikicat_Ice_hockey_teams_in_Sweden	6	3	3	1.0
Fernando_Varela_Ramos	wikicat_Spanish_footballers	2	1	1	1.0
Ricky_Gervais	wikicat_Actors	2	1	1	1.0
Margaret_Sullavan	wikicat_Actors	2	1	1	1.0
University_of_San_Francisco	wikicat_Schools_accredited_by_the_Western_Association_of_Schools_and_Colleges	2	1	1	1.0
Saul_Kripke	wikicat_Analytic_philosophers	2	1	1	1.0
University_of_Adelaide	wikicat_Universities_in_Australia	2	1	1	1.0
Bellshill	wikicat_Towns_in_North_Lanarkshire	2	1	1	1.0
Sivaji_Ganesan	wikicat_Actors	2	1	1	1.0
Wismar	wordnet_location_100027167	2	1	1	1.0
Branco_(footballer)	wikicat_Brazil_international_footballers	2	1	1	1.0
Eduardo_Carvalho	wikicat_Portuguese_expatriates_in_Turkey	22	11	11	1.0
Ger_Rowe	wikicat_Ballymena_United_F.C._players	2	1	1	1.0
Johnstown_Chiefs	wordnet_team_108208560	2	1	1	1.0
Yale_Law_School	wikicat_Law_schools	2	1	1	1.0
Bernard_Cornwell	wikicat_English_writers	2	1	1	1.0
Maurice_Ross	wikicat_Scottish_footballers	2	1	1	1.0
Central_Coast_Mariners_FC	wikicat_A-League_teams	36	18	18	1.0
Kamil_Čontofalský	wikicat_Slovak_First_League_players	2	1	1	1.0
Nano_(Spanish_footballer_born_1980)	wikicat_Spanish_people	18	9	9	1.0
Falkirk	wikicat_Cities_in_Scotland	8	4	4	1.0
French_language	wikicat_Languages_of_Lebanon	8	4	4	1.0
Billy_Corgan	wikicat_Songwriters	26	13	13	1.0
Upton_Sinclair	wikicat_American_male_writers	28	14	14	1.0
Daphne_du_Maurier	wikicat_British_historical_novelists	2	1	1	1.0
Fredrik_Björck	wikicat_AIK_Fotboll_players	10	5	5	1.0
Ion_Vélez	wikicat_CD_Numancia_players	2	1	1	1.0
Pakistan_Muslim_League_(N)	wikicat_Liberal_parties	2	1	1	1.0
Mark_Prudhoe	wikicat_Sunderland_A.F.C._players	56	28	28	1.0
Rivaldo_Barbosa_de_Souza	wikicat_Santos_Futebol_Clube_players	2	1	1	1.0
Valdas_Ivanauskas	wikicat_Soviet_footballers	30	15	15	1.0
Club_Atlético_Vélez_Sarsfield	wikicat_Multi-sport_clubs_in_Argentina	2	1	1	1.0
Olivier_Martinez	wikicat_Male_actors_from_Paris	8	4	4	1.0
Gianfranco_Labarthe	wikicat_Torneo_Descentralizado_footballers	10	5	5	1.0
John_Maynard_Keynes	wordnet_economist_110043643	6	3	3	1.0
Marcinho_Guerreiro	wikicat_Campeonato_Brasileiro_Série_A_footballers	8	4	4	1.0
Leominster,_Massachusetts	wikicat_Cities_in_Worcester_County,_Massachusetts	24	12	12	1.0
Stuart_Green	wikicat_Carlisle_United_F.C._players	20	10	10	1.0
Aleš_Pikl	wikicat_Czech_Republic_under-21_international_footballers	8	4	4	1.0
Hannah-Beth_Jackson	wikicat_Living_people	8	4	4	1.0
Augsburg	wordnet_country_108544813	8	4	4	1.0
Freeman_Dyson	wikicat_Science_writers	8	4	4	1.0
Gabon	wikicat_States_and_territories_established_in_1960	12	6	6	1.0
Cornel_Dobre	wikicat_FC_Dinamo_București_players	6	3	3	1.0
George_R._R._Martin	wikicat_Worldcon_Guests_of_Honor	74	37	37	1.0
Gabriel_Urdaneta	wikicat_Venezuelan_footballers	6	3	3	1.0
Scott_Willis_(footballer)	wikicat_Leigh_Genesis_F.C._players	6	3	3	1.0
Dick_Van_Dyke	wikicat_American_male_voice_actors	14	7	7	1.0
Bob_Hope	wikicat_Comedians	6	3	3	1.0
Canada	wikicat_Member_states_of_the_Commonwealth_of_Nations	6	3	3	1.0
Lucky_Idahor	wikicat_Expatriate_footballers_in_Azerbaijan	12	6	6	1.0
Jennifer_Lopez	wikicat_American_voice_actors	6	3	3	1.0
Jorge_Costa	wikicat_Portuguese_expatriates_in_Cyprus	60	30	30	1.0
Jonathan_Lethem	wikicat_Writers_from_New_York	68	34	34	1.0
Steven_Weinberg	wikicat_Jewish_American_scientists	28	14	14	1.0
Erik_Edman	wikicat_Expatriate_footballers_in_Germany	6	3	3	1.0
John_Hartson	wikicat_Scottish_Premier_League_players	80	40	40	1.0
Nozomi_Hiroyama	wikicat_Expatriate_footballers_in_France	6	3	3	1.0
Hinsdale,_Illinois	wikicat_Villages_in_Illinois	6	3	3	1.0
Denis_Leary	wikicat_American_television_actors	6	3	3	1.0
Adam_Smith	wikicat_Scottish_people	18	9	9	1.0
Charles_de_Gaulle	wikicat_20th-century_French_politicians	6	3	3	1.0
Robin_Cook_(American_novelist)	wikicat_20th-century_writers	315	158	157	0.9936708860759493
Jerry_Siegel	wikicat_Disney_comics_artists	6634	3343	3291	0.9844451091833682
Nélson_Marcos	wikicat_UD_Almería_footballers	115	58	57	0.9827586206896551
Charles_K._Kao	wikicat_British_academics	103	52	51	0.9807692307692307
Aurelio_Vidmar	wikicat_1997_FIFA_Confederations_Cup_players	1621	826	795	0.9624697336561744
Jay_Mohr	wikicat_Male_actors_from_New_Jersey	51	26	25	0.9615384615384616
Neil_Wood	wikicat_Expatriate_footballers_in_Bosnia_and_Herzegovina	233	119	114	0.957983193277311
Leonid_Hurwicz	wikicat_American_mathematicians	99	51	48	0.9411764705882353
Nicola_Amoruso	wikicat_A.C._Perugia_Calcio_players	126	65	61	0.9384615384615385
Borussia_Dortmund	wikicat_Publicly_traded_sports_companies	29	15	14	0.9333333333333333
Emmet_Friars	wikicat_A.F.C._Telford_United_players	58	30	28	0.9333333333333333
Kochi	wikicat_Cities_and_towns_in_Kerala	29	15	14	0.9333333333333333
Gheorghe_Hagi	wikicat_Real_Madrid_C.F._players	517	268	249	0.9291044776119403
Lee_Johnson_(footballer)	wikicat_Chesterfield_F.C._players	54	28	26	0.9285714285714286
David_García_Haro	wikicat_Cádiz_CF_footballers	79	41	38	0.926829268292683
Persebaya_Surabaya	wikicat_Football_clubs_in_Indonesia	6059	3145	2914	0.926550079491256
NK_Bravo1_Interblock	wikicat_Association_football_clubs_established_in_1975	3205	1665	1540	0.924924924924925
Phil_Charnock	wikicat_English_footballers	25	13	12	0.9230769230769231
Windhoek	wikicat_Regional_capitals_in_Namibia	15911	8295	7616	0.9181434599156119
June_Allyson	wikicat_Metro-Goldwyn-Mayer_contract_players	23	12	11	0.9166666666666666
FC_Chiasso	wordnet_club_108227214	6223	3247	2976	0.9165383430859255
Guilherme_de_Cássio_Alves	wikicat_Club_de_Regatas_Vasco_da_Gama_players	42	22	20	0.9090909090909091
George_Orwell	wikicat_English_political_writers	334	175	159	0.9085714285714286
Radosław_Kałużny	wikicat_Jagiellonia_Białystok_players	40	21	19	0.9047619047619048
Armand_Traoré	wikicat_France_under-21_international_footballers	19	10	9	0.9
Christian_Brand	wikicat_German_football_managers	19	10	9	0.9
Walt_Disney	wikicat_English-language_film_directors	36	19	17	0.8947368421052632
Iván_Obolo	wikicat_AIK_Fotboll_players	180	95	85	0.8947368421052632
Ioan_Sabău	wikicat_Feyenoord_players	157	83	74	0.891566265060241
Cobresal	wikicat_Football_clubs_in_Chile	13182	6977	6205	0.8893507238067937
The_Simpsons_Movie	wikicat_Animated_comedy_films	81	43	38	0.8837209302325582
Vince_Clarke	wikicat_People_from_Redbridge_(London_borough)	2469	1311	1158	0.8832951945080092
Ebrahim_Taghipour	wikicat_Esteghlal_F.C._players	2430	1291	1139	0.8822618125484121
George_Best	wikicat_Miami_FC_players	675	359	316	0.8802228412256268
Jack_Black	wikicat_Actors_from_California	77	41	36	0.8780487804878049
Aria_(film)	wikicat_German-language_films	291	155	136	0.8774193548387097
Nicolás_Diez	wikicat_Argentina_youth_international_footballers	291	155	136	0.8774193548387097
Gustavo_Napoles	wikicat_Tigres_UANL_footballers	321	171	150	0.8771929824561403
Portsmouth_F.C.	wikicat_Association_football_clubs_established_in_1898	437	233	204	0.8755364806866953
Jakarta	wordnet_administrative_district_108491826	15	8	7	0.875
Lyndon_B._Johnson	wikicat_Vice_Presidents_of_the_United_States	15	8	7	0.875
Debbie_Reynolds	wikicat_Actresses_from_Beverly_Hills,_California	150	80	70	0.875
David_Craig_(Scottish_footballer)	wikicat_Hamilton_Academical_F.C._players	15	8	7	0.875
Karl_Marx	wikicat_Sociologists	2814	1501	1313	0.8747501665556295
James_Wesolowski	wikicat_Leicester_City_F.C._players	116	62	54	0.8709677419354839
Neil_Lennon	wikicat_Crewe_Alexandra_F.C._players	155	83	72	0.8674698795180723
Caleb_Patterson-Sewell	wikicat_Carolina_RailHawks_players	80	43	37	0.8604651162790697
University_of_Minnesota	wikicat_Universities_and_colleges_in_Minnesota	17181	9242	7939	0.8590132006059295
Christopher_Hitchens	wikicat_English_non-fiction_writers	15285	8228	7057	0.8576810889645115
Mircea_Eliade	wikicat_Romanian_biographers	13	7	6	0.8571428571428571
FC_Obolon_Kyiv	wikicat_Defunct_football_clubs_in_Ukraine	13	7	6	0.8571428571428571
Ian_Thomas-Moore	wikicat_Burnley_F.C._players	128	69	59	0.855072463768116
Mitch_Hedberg	wikicat_American_people_of_Swedish_descent	1956	1055	901	0.8540284360189574
Ladislas_Douniama	wikicat_US_Orléans_players	443	240	203	0.8458333333333333
Natasha_Richardson	wikicat_Shakespearean_actors	164	89	75	0.8426966292134831
Austin,_Texas	wikicat_Planned_cities_in_the_United_States	35	19	16	0.8421052631578947
Gabri_García	wikicat_Olympic_silver_medalists_for_Spain	445	242	203	0.8388429752066116
Mark_Williams_(South_African_footballer)	wikicat_Xian_Chanba_players	5704	3111	2593	0.8334940533590486
Ibón_Gutiérrez	wikicat_CD_Basconia_footballers	11	6	5	0.8333333333333334
Max_Kruse	wikicat_Borussia_Mönchengladbach_players	55	30	25	0.8333333333333334
Dorinel_Munteanu	wikicat_FC_CFR_Cluj_managers	66	36	30	0.8333333333333334
Ricardo_Rocha_(Portuguese_footballer)	wikicat_S.C._Braga_players	11	6	5	0.8333333333333334
Kenneth_G._Wilson	wikicat_Living_people	55	30	25	0.8333333333333334
Vital_Lyadzyanyow	wikicat_FC_Inter_Baku_players	22	12	10	0.8333333333333334
Charlie_Chaplin	wikicat_British_artists	11	6	5	0.8333333333333334
Julianne_Moore	wikicat_People_from_North_Carolina	7124	3902	3222	0.8257303946694003
Richard_Rorty	wikicat_American_political_philosophers	1912	1048	864	0.8244274809160306
Maroš_Klimpl	wikicat_FK_Viktoria_Žižkov_players	20	11	9	0.8181818181818182
Cole_Porter	wikicat_LGBT_people	40	22	18	0.8181818181818182
Félix_Ricardo_Torres	wikicat_1987_Copa_América_players	234	129	105	0.813953488372093
Mike_Ambersley	wikicat_Minnesota_United_FC_players	1158	641	517	0.8065522620904836
Henri_Poincaré	wikicat_19th-century_physicists	121	67	54	0.8059701492537313
Deportivo_de_La_Coruña	wikicat_Galician_football_clubs	9	5	4	0.8
Caroline_Seger	wikicat_2011_FIFA_Women's_World_Cup_players	9	5	4	0.8
Søren_Larsen	wikicat_Denmark_under-21_international_footballers	9	5	4	0.8
Fernando_Varela_Ramos	wikicat_Real_Betis_footballers	9	5	4	0.8
Austria	wikicat_Federal_countries	27	15	12	0.8
Tarlan_Ahmadov	wikicat_PFK_Turan_players	9	5	4	0.8
John_Ireland_(actor)	wikicat_People_from_New_York_City	9	5	4	0.8
Genoa	wikicat_Roman_towns_and_cities_in_Italy	9	5	4	0.8
Les_plus_belles_escroqueries_du_monde	wikicat_Black-and-white_films	142	79	63	0.7974683544303798
George_Orwell	wikicat_English_essayists	34	19	15	0.7894736842105263
Éder_Aleixo_de_Assis	wikicat_Sociedade_Esportiva_do_Gama_players	25	14	11	0.7857142857142857
Indonesia	wikicat_Countries_in_Oceania	50	28	22	0.7857142857142857
Williams_Martínez	wikicat_West_Bromwich_Albion_F.C._players	625	350	275	0.7857142857142857
Somalia	wikicat_Federal_countries	25	14	11	0.7857142857142857
Oleksiy_Horodov	wikicat_FC_Spartak_Ivano-Frankivsk_players	328	184	144	0.782608695652174
Singapore	wikicat_Populated_coastal_places	4854	2727	2127	0.7799779977997799
Newport_County_A.F.C.	wordnet_club_108227214	16	9	7	0.7777777777777778
Rabiola	wikicat_C.D._Feirense_players	1996	1125	871	0.7742222222222223
Grêmio_Foot-Ball_Porto_Alegrense	wikicat_Association_football_clubs_established_in_1903	535	302	233	0.7715231788079471
Quito	wikicat_Populated_places_in_Ecuador	16167	9131	7036	0.7705618223633776
F.C._Hansa_Rostock	wikicat_Football_clubs_in_Mecklenburg-Vorpommern	17032	9622	7410	0.7701101642070256
FremantleMedia	wikicat_Companies_of_the_United_Kingdom	16691	9431	7260	0.7698017177393701
Carl_Sagan	wikicat_Jewish_American_scientists	23	13	10	0.7692307692307693
Henry_Fonda	wikicat_Kennedy_Center_honorees	76	43	33	0.7674418604651163
Flannery_O'Connor	wikicat_Women_writers	1144	648	496	0.7654320987654321
George_R._R._Martin	wikicat_American_bloggers	298	169	129	0.7633136094674556
Daniel_Handler	wikicat_Male_short_story_writers	67	38	29	0.7631578947368421
Leandro_Lourenço_Franco	wikicat_Atromitos_F.C._players	440	250	190	0.76
Eddie_Basden	wikicat_Chicago_Bulls_players	667	379	288	0.7598944591029023
Laurent_Fabius	wikicat_French_Ministers_of_Finance	7	4	3	0.75
Jean_Harlow	wikicat_20th-century_actors	7	4	3	0.75
Gloucester_City_A.F.C.	wikicat_Association_football_clubs_established_in_1883	42	24	18	0.75
John_Adams	wikicat_Vice_Presidents_of_the_United_States	14	8	6	0.75
Melissa_Tancredi	wikicat_National_Women's_Soccer_League_players	21	12	9	0.75
Carlos_Salazar_(Colombian_footballer)	wikicat_People_from_Cali	7	4	3	0.75
John_Ireland_(actor)	wikicat_American_television_actors	7	4	3	0.75
Émerson_Leão	wikicat_Brazil_international_footballers	7	4	3	0.75
Mattia_Biso	wikicat_Italian_footballers	7	4	3	0.75
Legion_of_Honour	wikicat_Military_orders	16416	9381	7035	0.7499200511672529
Marconi_Stallions_FC	wikicat_Association_football_clubs_established_in_1972	845	484	361	0.7458677685950413
Mort_Shuman	wikicat_People_from_Brooklyn	75	43	32	0.7441860465116279
Dominique_de_Villepin	wordnet_minister_110320863	54	31	23	0.7419354838709677
Aleksandre_Kobakhidze	wikicat_Association_football_wingers	908	522	386	0.7394636015325671
Henri_Fuchs	wikicat_1._FC_Köln_players	66	38	28	0.7368421052631579
Gyula_Lóránt	wikicat_Olympic_footballers_of_Hungary	13588	7826	5762	0.7362637362637363
I._M._Pei	wikicat_Chinese_people	26	15	11	0.7333333333333333
James_Tobin	wikicat_People_from_Champaign,_Illinois	12656	7302	5354	0.7332237743084087
Ebbw_Vale_F.C.	wordnet_club_108227214	19	11	8	0.7272727272727273
Midge_Ure	wikicat_Guitarists	19	11	8	0.7272727272727273
Franco-Prussian_War	wikicat_Conflicts_in_1870	95	55	40	0.7272727272727273
Frank_Arnesen	wikicat_Association_football_executives	3190	1847	1343	0.7271250676773146
Tom_Paxton	wikicat_People_from_Chicago,_Illinois	5179	2999	2180	0.7269089696565522
Ebbw_Vale_F.C.	wikicat_Association_football_clubs_disestablished_in_1998	6922	4009	2913	0.7266151159890247
Marcus_Vinícius_da_Cruz_Alves_Nóbrega	wikicat_Clube_Náutico_Capibaribe_players	50	29	21	0.7241379310344828
Foeke_Booy	wikicat_PEC_Zwolle_players	1028	597	431	0.7219430485762144
