Dennis_Cagara	wikicat_Brøndby_IF_players
Werner_Heisenberg	wikicat_20th-century_German_people
Jhon_van_Beukering	wikicat_Go_Ahead_Eagles_players
Julia_Kristeva	wikicat_Feminist_theorists
Magic_Kingdom	wordnet_amusement_park_108494231
Štefan_Čambal	wikicat_FC_Zbrojovka_Brno_players
Gena_Rowlands	wikicat_American_actresses
Allen_Ginsberg	wikicat_American_writers
Eugene_Levy	wikicat_Canadian_screenwriters
Chien-Shiung_Wu	wikicat_Fellows_of_the_American_Association_for_the_Advancement_of_Science
Lazarus_Fuchs	wikicat_People_from_Mosina
Alioum_Saidou	wikicat_Galatasaray_S.K._footballers
Michael_Dummett	wikicat_Political_philosophers
Herbert_Banks	wikicat_Third_Lanark_A.C._players
Hussein_Yasser	wikicat_People_from_Doha
Australia	wikicat_Member_states_of_the_United_Nations
Anthony_Eden	wikicat_People_of_the_Suez_Crisis
Rochester_Rhinos	wordnet_club_108227214
Luchino_Visconti	wikicat_LGBT_people_from_Italy
Marc_Nygaard	wikicat_Denmark_international_footballers
Stern_John	wikicat_Major_League_Soccer_players
Luis_García_(footballer,_born_1981)	wikicat_RCD_Mallorca_footballers
George_MacDonald	wikicat_Protestant_writers
Abdoul_Salam_Sow	wikicat_C.F._Os_Belenenses_players
Billy_Bob_Thornton	wikicat_American_actors
Albert_Kahn_(architect)	wikicat_American_people
Joseph_Schumpeter	wikicat_Austrian_academics
Gastón_Casas	wikicat_Argentine_people_of_Spanish_descent
Keelin_Winters	wikicat_American_expatriate_soccer_players
Axel_Keller	wikicat_Living_people
Hossam_Hassan	wikicat_Egyptian_football_managers
Andy_Bell_(singer)	wikicat_Rock_singers
Elbląg	wikicat_Port_cities_and_towns_in_Poland
Carrie_Fisher	wikicat_Alumni_of_the_Central_School_of_Speech_and_Drama
Gaston_Doumergue	wikicat_French_Senators_of_the_Third_Republic
Sejad_Halilović	wikicat_Altay_S.K._footballers
Erland_Johnsen	wikicat_Lillestrøm_SK_managers
Shahjalal_International_Airport	wikicat_Airports_in_Bangladesh
Agadir	wikicat_Populated_places_in_the_Agadir-Ida_Ou_Tanane_Prefecture
Óscar_McFarlane	wikicat_Sporting_San_Miguelito_players
Manolo_Pestrin	wikicat_Serie_B_footballers
Hergé	wikicat_Belgian_comics_writers
Ratko_Dostanić	wikicat_OFK_Beograd_managers
B._W._Powe	wikicat_Writers_from_Ottawa
Milan_Purović	wikicat_FK_Bežanija_players
São_José_do_Rio_Preto	wikicat_Municipalities_of_Brazil
Lucille_Ball	wikicat_American_actresses
Giampaolo_Pazzini	wikicat_UEFA_Euro_2012_players
Tommy_Lee_Jones	wikicat_21st-century_American_actors
Almirante_Brown_de_Arrecifes	wikicat_Football_clubs_in_Argentina
Guillaume_Warmuz	wikicat_Bundesliga_players
Glen_Atle_Larsen	wikicat_Norwegian_expatriates_in_the_United_Kingdom
Christopher_Hitchens	wikicat_English_essayists
Javier_Saviola	wikicat_Argentine_footballers
Vittorio_Gassman	wikicat_Italian_screenwriters
Katie_Melua	wikicat_British_people_of_Georgian_descent
Nile	wordnet_river_109411430
RCD_Espanyol	wikicat_La_Liga_clubs
Cristiano_Zanetti	wikicat_A.S._Roma_players
A_Yank_at_Oxford	wikicat_Black-and-white_films
Grigol_Chanturia	wikicat_Georgian_expatriate_footballers
Point_Pleasant,_West_Virginia	wikicat_County_seats_in_West_Virginia
Freeman_Dyson	wikicat_People_from_Winchester
Gregory_Peck	wikicat_Presidents_of_the_Academy_of_Motion_Picture_Arts_and_Sciences
Uzbekistan	wordnet_country_108544813
Socialist_Federal_Republic_of_Yugoslavia	wikicat_States_and_territories_disestablished_in_1992
F.C._Barreirense	wikicat_Basketball_teams_in_Portugal
FC_Argeș_Pitești	wikicat_Association_football_clubs_established_in_1953
Marquette_County,_Michigan	wikicat_Michigan_counties
Eric_Eichmann	wikicat_People_from_Broward_County,_Florida
Mia_Farrow	wikicat_Actors_from_California
Charleville_Airport	wikicat_Airfields_of_the_United_States_Army_Air_Forces_in_Australia
Stockport_County_F.C.	wikicat_Football_clubs_in_Stockport
FC_Bunyodkor	wikicat_Association_football_clubs_established_in_2005
Helena_Bonham_Carter	wikicat_English_women
Jaap_Stam	wikicat_People_from_Kampen,_Overijssel
Diana_Dors	wikicat_20th-century_actresses
Raymond_Poincaré	wikicat_Government_ministers_of_France
Nagoya	wikicat_Port_cities
Róbinson_Zapata	wikicat_Colombian_expatriate_footballers
Theresa_Russell	wikicat_American_actors
Tommy_Duggan	wikicat_American_Soccer_League_(1921–33)_players
Slovenia	wikicat_States_and_territories_established_in_1991
Paul_Dirac	wikicat_English_emigrants_to_the_United_States
Mark_Smith_(footballer_born_1960)	wikicat_Lincoln_City_F.C._players
Anthony_Franciosa	wikicat_Actors
David_Freeman_(Irish_footballer)	wikicat_Dublin_City_F.C._players
Stevie_Wonder	wikicat_American_record_producers
Ben_Sedgemore	wikicat_Mansfield_Town_F.C._players
Milwaukee	wordnet_administrative_district_108491826
Newcastle_upon_Tyne	wordnet_site_108651247
Roald_Dahl	wikicat_Screenwriters
Pierre_Bourdieu	wikicat_French_philosophers
Agadir	wikicat_Ports_and_harbours
Josiesley_Ferreira_Rosa	wikicat_Expatriate_footballers_in_Serbia
Al_Haouz_Province	wikicat_Provinces_of_Morocco
Tom_Heaton	wikicat_Cardiff_City_F.C._players
Selseleh_County	wordnet_administrative_district_108491826
FC_Kuban_Krasnodar	wikicat_Football_clubs_in_Russia
Leonardo_Andrés_Iglesias	wikicat_Living_people
Uttar_Pradesh	wikicat_States_and_territories_established_in_1834
Sheffield_United_F.C.	wikicat_Football_League_clubs
Bahman_Tahmasebi	wikicat_Pegah_Gilan_players
Uppsala	wikicat_Municipalities_of_Sweden
Saint-Jean-sur-Richelieu	wikicat_Cities_and_towns_in_Quebec
Joseph_Stiglitz	wikicat_Development_economists
Juvenal_Edjogo-Owono	wikicat_Equatoguinean_footballers
Cornwall,_New_York	wikicat_Towns_in_New_York
Laurent_Robert	wikicat_Paris_Saint-Germain_F.C._players
Dushanbe	wikicat_Populated_places_in_Tajikistan
Vinícius_Conceição_da_Silva	wikicat_Sociedade_Esportiva_e_Recreativa_Caxias_do_Sul_players
Eason_Chan	wordnet_artist_109812338
Katherine_Heigl	wikicat_People_from_Washington,_D.C.
Giancarlo_Camolese	wikicat_Serie_B_footballers
Central_America	wikicat_Isthmuses
Kenneth_G._Wilson	wikicat_American_people
Motojirō_Kajii	wikicat_Writers_from_Osaka
Luanda	wikicat_Populated_coastal_places_in_Angola
Willard_Van_Orman_Quine	wikicat_Kyoto_laureates_in_Arts_and_Philosophy
Hussein_Yasser	wikicat_Al_Ahly_SC_players
Alison_Krauss	wikicat_American_violinists
Paulinho_McLaren	wikicat_Brazilian_expatriate_footballers
Paolo_Foglio	wikicat_Association_football_defenders
Cinderella_(1950_film)	wikicat_American_musical_films
William_Faulkner	wikicat_People_from_Oxford,_Mississippi
Fernando_de_Ornelas	wikicat_Deportivo_Táchira_players
Alice,_Texas	wikicat_Cities_in_Jim_Wells_County,_Texas
Oliver_Bierhoff	wikicat_Expatriate_footballers_in_France
Henry_León	wikicat_El_Nacional_footballers
Michel_Foucault	wikicat_French_anthropologists
Goa	wordnet_administrative_district_108491826
Savannah	wordnet_administrative_district_108491826
Coatbridge	wordnet_site_108651247
Ražanj	wikicat_Populated_places_in_Nišava_District
Glenn_Ford	wikicat_Canadian_people_of_Scottish_descent
Ouargla_Province	wikicat_Provinces_of_Algeria
Jennifer_Love_Hewitt	wikicat_People_from_Texas
Warren_Ukah	wikicat_Milwaukee_Wave_players
Vevey	wordnet_town_108665504
Esad_Razić	wikicat_FC_Oss_players
Sebastián_Grazzini	wikicat_Newell's_Old_Boys_footballers
Chonburi_F.C.	wikicat_Football_clubs_in_Thailand
Bergamo	wordnet_administrative_district_108491826
John_Rawls	wikicat_American_political_theorists
MSV_Duisburg	wikicat_Women's_football_clubs_in_Germany
César_Navas	wikicat_Spanish_expatriate_footballers
Gary_Shelton	wikicat_England_under-21_international_footballers
Hammond,_Indiana	wikicat_Cities_in_Lake_County,_Indiana
Jerry_Seinfeld	wikicat_Car_collectors
Manuel_Almunia	wikicat_La_Liga_footballers
José_Carlos_Leite_de_Sousa	wikicat_S.C._Beira-Mar_players
Valencia,_California	wordnet_administrative_district_108491826
Terence_Tao	wordnet_scientist_110560637
Real_Valladolid	wikicat_La_Liga_clubs
Jacques_Chirac	wikicat_École_nationale_d'administration_alumni
Thomas_Jefferson	wikicat_Inventors
English_language	wikicat_West_Germanic_languages
Winston_Churchill	wikicat_20th-century_British_writers
Smyrna,_Delaware	wikicat_Cities_in_Delaware
Bruce_Murray_(soccer)	wikicat_Futsal_players
Quincy_Jones	wikicat_American_people_of_Italian_descent
Manolo_Pestrin	wikicat_Carrarese_Calcio_players
Damascus	wikicat_World_Heritage_Sites_in_Asia
David_Carradine	wikicat_20th-century_American_male_actors
Enrico_Fermi	wikicat_American_Nobel_laureates
University_of_Padua	wikicat_Universities_in_Italy
Róbinson_Zapata	wikicat_Colombia_international_footballers
North_Tyneside	wikicat_Local_government_districts_of_North_East_England
Mark_Draycott	wikicat_Ventura_County_Fusion_players
Esteban_Fuertes	wikicat_CD_Tenerife_players
Dalian_Atkinson	wikicat_British_expatriates_in_South_Korea
South_Africa	wikicat_Countries_in_Africa
Trabzon	wikicat_Archaeological_sites_in_Turkey
Petter_Belsvik	wikicat_Molde_FK_players
Bruce_Springsteen	wikicat_American_male_singers
Wolfgang_Pauli	wikicat_Theoretical_physicists
Aliou_Cissé	wikicat_Ligue_2_players
Saginaw,_Michigan	wordnet_administrative_district_108491826
Malatya_B.S.	wordnet_club_108227214
Marko_Ljubinković	wikicat_Living_people
Werner_Stengel	wikicat_Roller_coaster_designers
Kate_Nash	wikicat_People_from_London
Dragan_Milovanović	wikicat_Living_people
Nikola_Nikezić	wikicat_FK_Sutjeska_Nikšić_players
Subrahmanyan_Chandrasekhar	wikicat_American_atheists
Hossam_Hassan	wikicat_Egyptian_expatriates_in_Switzerland
Alen_Marcina	wikicat_New_Zealand_Knights_FC_players
Larry_Niven	wikicat_Writers_from_Los_Angeles,_California
István_Nyers	wikicat_Expatriate_footballers_in_Spain
Ken_Loach	wikicat_BBC_people
Freeman_Dyson	wikicat_21st-century_mathematicians
Colin_Towns	wikicat_English_television_composers
Dragan_Kanatlarovski	wikicat_FK_Pobeda_players
Enrico_Fermi	wikicat_Italian_inventors
AD_Ceuta	wikicat_Defunct_football_clubs_in_Spain
Pedro_Almodóvar	wikicat_Spanish_film_directors
Bolivia	wikicat_Member_states_of_the_Union_of_South_American_Nations
Vasas_SC	wikicat_Association_football_clubs_established_in_1911
AGOVV_Apeldoorn	wikicat_Association_football_clubs_established_in_1913
Harry_Belafonte	wikicat_World_music_musicians
Regine_Velasquez	wikicat_Filipino_musicians
Pedro_Almodóvar	wikicat_Actors
Blažej_Vaščák	wikicat_Slovak_footballers
Charles_K._Kao	wikicat_American_people_of_Chinese_descent
Stockton-on-Tees	wikicat_Places_in_the_Tees_Valley
Real_Sociedad	wikicat_Football_clubs_in_Spain
Frans_Hals	wikicat_Artists_from_Haarlem
Winston_Churchill	wikicat_Writers
Urmuz	wikicat_Romanian_judges
Brandon_Wheat_Kings	wordnet_team_108208560
Russian_language	wikicat_Languages
The_White_Stripes	wikicat_Garage_rock_groups
Isabella_Rossellini	wikicat_Italian_people_of_German_descent
Dwight_D._Eisenhower	wikicat_American_bridge_players
James_Monroe	wikicat_People_from_Westmoreland_County,_Virginia
Barry_Horne_(footballer)	wikicat_Birmingham_City_F.C._players
Pasadena	wikicat_Cities_in_the_United_States
Ariel_Ibagaza	wikicat_Expatriate_footballers_in_Spain
Dwight_D._Eisenhower	wikicat_Knights_and_Dames_of_the_Collar_of_the_Equestrian_Order_of_the_Holy_Sepulchre
Virginia_Beach_Mariners	wikicat_Sports_teams_in_Virginia
FK_Renova	wikicat_Association_football_clubs_established_in_2003
War_of_the_Spanish_Succession	wikicat_Family_trees
Bohemian_F.C.	wikicat_Association_football_clubs_established_in_1890
Pushkin_Prize	wikicat_Russian_literary_awards
John_Ireland_(actor)	wikicat_Canadian_stage_actors
Herbert_Banks	wikicat_St._Mirren_F.C._players
Marcus_Miller	wikicat_Bass_clarinetists
João_Paulo_Andrade	wikicat_Expatriate_footballers_in_Romania
Robert_B._Parker	wikicat_American_writers
Sacha_Baron_Cohen	wikicat_Jewish_English_male_actors
Enrique_Corrales	wikicat_RCD_Mallorca_footballers
Djibouti	wikicat_States_and_territories_established_in_1977
Hossam_Hassan	wikicat_Egyptian_expatriate_footballers
Pierre_Deligne	wikicat_Viscounts_of_Belgium
Grégory_Béranger	wikicat_CD_Tenerife_players
Rot-Weiß_Oberhausen	wordnet_club_108227214
Kate_Bush	wikicat_People_from_Bexley_(London_borough)
Brescia	wordnet_site_108651247
Nildeson	wikicat_C.D._Aguila_footballers
Club_Sportivo_Cerrito	wordnet_club_108227214
Miodrag_Anđelković	wikicat_Expatriate_footballers_in_Romania
Morioka,_Iwate	wordnet_administrative_district_108491826
Jimmy_King	wikicat_Asheville_Altitude_players
Guillaume_Warmuz	wikicat_Olympique_de_Marseille_players
Montrose_F.C.	wikicat_Association_football_clubs_established_in_1879
Lee_Matthews	wikicat_Living_people
Laryea_Kingston	wikicat_Eredivisie_players
William_Hanna	wikicat_American_cartoonists
Faye_Wong	wikicat_21st-century_Chinese_actresses
Marcus_Miller	wikicat_People_from_Brooklyn
Ricky_Gervais	wikicat_English_radio_DJs
Roberto_Jiménez	wikicat_Deportes_La_Serena_players
George_Brent	wikicat_Warner_Bros._contract_players
Solomon_Okoronkwo	wikicat_People_from_Enugu
Juvenal_Edjogo-Owono	wikicat_FC_Cartagena_footballers
Pierre_Bourdieu	wikicat_French_anthropologists
Italy_national_under-21_football_team	wikicat_European_national_under-21_association_football_teams
Josef_Hickersberger	wikicat_Bundesliga_players
Joe_Ira_Clark	wikicat_American_expatriate_basketball_people_in_South_Korea
Kiki_Musampa	wikicat_La_Liga_footballers
Logan_Bailly	wikicat_Standard_Liège_players
João_Resende_Alves	wikicat_Varzim_S.C._players
John_Maynard_Keynes	wikicat_Economics_writers
Ethio-Somali_War	wikicat_Wars_involving_Cuba
Roger_Ebert	wikicat_Writers_from_Illinois
John_Ritter	wikicat_American_humorists
Arlington_(Virginia)	wordnet_county_108546183
Nabil_Taïder	wikicat_Tunisian_expatriate_footballers
Sun_Yat-sen	wikicat_Chinese_physicians
Doris_Lessing	wikicat_Women_Nobel_laureates
Michèle_Morgan	wikicat_French_people
Rekha	wikicat_Actors
João_Resende_Alves	wikicat_Associação_Académica_de_Coimbra_–_O.A.F._managers
Princess_Juliana_International_Airport	wikicat_Airports_in_the_Netherlands
Yvelines	wikicat_Cities_in_France
Idrissa_Keita	wikicat_C.D._Santa_Clara_players
Hiiumaa	wikicat_Counties_of_Estonia
Daniel_Addo	wikicat_FC_Lustenau_players
Quincy_Jones	wikicat_American_people_of_English_descent
Stefan_Blank	wikicat_1._FC_Kaiserslautern_players
Alizée	wikicat_Mezzo-sopranos
Zoltán_Kovács_(footballer_born_1973)	wikicat_Living_people
Gloria_Swanson	wikicat_Paramount_Pictures_contract_players
Federico_Fellini	wikicat_English-language_film_directors
Haaglandia	wikicat_Association_football_clubs_established_in_2005
Pyongyang	wordnet_administrative_district_108491826
Vasile_Miriuță	wikicat_Romanian_expatriates_in_France
Leon_Trotsky	wikicat_Soviet_dissidents
Justin_Fashanu	wikicat_Los_Angeles_Heat_players
Bülent_Akın	wikicat_Turkish_expatriates_in_the_United_Kingdom
Matthew_Barnes-Homer	wikicat_Kidderminster_Harriers_F.C._players
FK_Atlantas	wikicat_Football_clubs_in_Lithuania
Oliver_Bierhoff	wikicat_Expatriate_footballers_in_Austria
Rumford_Medal	wikicat_Physics_awards
Luciano_Galletti	wikicat_OFI_Crete_players
Keko_(footballer,_born_1991)	wikicat_Expatriate_footballers_in_Italy
Gary_Holt_(footballer)	wikicat_Wycombe_Wanderers_F.C._players
Pavel_Pergl	wikicat_Hapoel_Ramat_Gan_F.C._players
Oceanport,_New_Jersey	wikicat_Boroughs_in_Monmouth_County,_New_Jersey
Václav_Klaus	wikicat_Classical_liberals
Suphanburi_F.C.	wikicat_Football_clubs_in_Thailand
Writers_Guild_of_America_Award	wikicat_Radio_awards
Zambrów_County	wikicat_Counties_of_Poland
Seton_Hall_University_School_of_Law	wordnet_university_108286569
Hart_Crane	wikicat_Guggenheim_Fellows
SV_Meppen	wikicat_Football_clubs_in_Lower_Saxony
Giuliano_Amato	wikicat_20th-century_Italian_politicians
Scottsdale,_Arizona	wordnet_administrative_district_108491826
Russian_language	wikicat_Languages_of_Georgia_(country)
Thomas_Gill_(footballer)	wikicat_Expatriate_footballers_in_Germany
Cliff_Robertson	wikicat_Glider_pilots
Victor_Weisskopf	wikicat_Anti–nuclear_weapons_activists
Kingston_upon_Hull	wikicat_Towns_in_the_East_Riding_of_Yorkshire
Leigh_Genesis_F.C.	wordnet_club_108227214
Lenílson_Batista_de_Souza	wikicat_Esporte_Clube_XV_de_Novembro_(Piracicaba)_players
Maria_Theresa	wikicat_Counts_of_Flanders
Emil_Jannings	wikicat_20th-century_actors
Jamie_Fullarton	wikicat_Scottish_footballers
Ben_Elton	wikicat_Living_people
Julia_Kristeva	wikicat_Continental_philosophers
Eugene_Levy	wikicat_Canadian_television_directors
Ronald_Fisher	wikicat_English_biologists
Lee_Gang-jin	wikicat_Association_football_defenders
Jason_Gavin_(footballer)	wikicat_Huddersfield_Town_F.C._players
Brad_Dourif	wikicat_People_from_Huntington,_West_Virginia
Frédéric_Chopin	wikicat_French_classical_composers
Baffin_Island	wikicat_Islands_of_the_Arctic_Ocean
Dimitrios_Konstantopoulos	wikicat_The_Football_League_players
Josh_Schwartz	wikicat_American_screenwriters
Valencia_CF	wikicat_La_Liga_clubs
Anthony_Franciosa	wikicat_Male_actors_from_New_York_City
Cláudio_Pitbull	wikicat_Campeonato_Brasileiro_Série_A_footballers
Elizabeth_II	wordnet_officeholder_110371450
Harrison_Ford	wikicat_American_people_of_Belarusian_descent
Robin_Cook_(American_novelist)	wikicat_Medical_fiction_writers
Stuttgart_(region)	wikicat_NUTS_2_statistical_regions_of_the_European_Union
Oshor_Williams	wikicat_Lancaster_City_F.C._players
Isaiah_Morris	wikicat_American_expatriate_basketball_people_in_Argentina
Robert_da_Silva_Almeida	wikicat_Grêmio_Barueri_Futebol_players
Midge_Ure	wikicat_Punk_rock_guitarists
Goran_Gavrančić	wikicat_Association_football_defenders
Gaetano_Giallanza	wikicat_Premier_League_players
Apple_Inc.	wikicat_Companies_established_in_1976
Martin_Luther	wikicat_German_theologians
Davao_del_Sur	wikicat_States_and_territories_established_in_1967
Indianapolis	wikicat_Populated_places_established_in_1821
Guaratinguetá_Futebol	wikicat_Football_clubs_in_Brazil
Shepway	wordnet_administrative_district_108491826
Stafford	wikicat_Towns_in_Staffordshire
Swizz_Beatz	wikicat_Living_people
Mauricio_Nanni	wikicat_C.A._Bella_Vista_players
Woody_Guthrie	wikicat_Songwriters_from_Oklahoma
Róbinson_Zapata	wikicat_People_from_Valle_del_Cauca_Department
Shawnelle_Scott	wikicat_Cleveland_Cavaliers_players
Jaroslav_Šedivec	wikicat_F.C._Crotone_players
John_F._Kennedy	wikicat_Choate_Rosemary_Hall_alumni
Enfield_1893_F.C.	wikicat_Association_football_clubs_established_in_1893
Pittsburgh	wikicat_Early_American_industrial_centers
Alan_Lee_(footballer)	wikicat_Huddersfield_Town_F.C._players
Jeff_Minton	wikicat_Grays_Athletic_F.C._players
Saša_Ilić_(footballer_born_1977)	wikicat_Austrian_Football_Bundesliga_players
Theresa_Russell	wikicat_Actors_from_California
Denholm_Elliott	wikicat_Commanders_of_the_Order_of_the_British_Empire
Abel_Xavier	wikicat_S.L._Benfica_footballers
William_Hanna	wikicat_American_people
Abu_Dhabi	wikicat_Populated_coastal_places_in_the_United_Arab_Emirates
Umberto_Lenzi	wikicat_Italian_people
Terras_de_Bouro_Municipality	wikicat_Cities_in_Portugal
Fernando_Varela_Ramos	wikicat_Segunda_División_footballers
Podkarpackie_Voivodeship	wordnet_administrative_district_108491826
Australian_Democrats	wordnet_party_108256968
Zlatibor_District	wikicat_Districts_of_Šumadija_and_Western_Serbia
José_Oscar_Flores	wikicat_People_from_Buenos_Aires
Simon_Wormull	wikicat_England_semi-pro_international_footballers
Ascot,_Berkshire	wikicat_Post_towns_in_the_SL_postcode_area
Chemnitz	wikicat_Populated_places_in_Germany
Partick_Thistle_F.C.	wikicat_Scottish_Premier_League_teams
Lance_Henriksen	wikicat_American_television_actors
Suad_Fileković	wikicat_Expatriate_footballers_in_Austria
Peter_de_Almeida	wikicat_Mirassol_Futebol_Clube_players
Welling_United_F.C.	wikicat_Football_clubs_in_London
Stockholm	wikicat_Port_cities_in_Sweden
Ben_Sahar	wikicat_Association_football_forwards
Rob_Lowe	wordnet_person_100007846
Massimo_Agostini	wikicat_Expatriate_footballers_in_San_Marino
Ívar_Ingimarsson	wikicat_Reading_F.C._players
Jeremy_Bentham	wikicat_Mummies
Jamie_Reed_(footballer)	wikicat_English_footballers
Westerly,_Rhode_Island	wikicat_Populated_coastal_places_in_Rhode_Island
Jamie_Lee_Curtis	wikicat_Living_people
Jarkko_Wiss	wikicat_Living_people
João_Paulo_Daniel	wikicat_RC_Strasbourg_players
Steven_Spielberg	wikicat_Knight_Commanders_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany
Legion_of_Merit	wikicat_Military_awards_and_decorations_of_the_United_States
Gaston_Doumergue	wikicat_Politicians_from_Languedoc-Roussillon
Edgar_Faure	wikicat_French_historians
Fullerton,_California	wikicat_Cities_in_Orange_County,_California
Tiago_Campagnaro	wikicat_Club_de_Regatas_Vasco_da_Gama_players
S.C._Campomaiorense	wordnet_club_108227214
Armando_Sá	wikicat_S.L._Benfica_footballers
Faustino_Asprilla	wikicat_Parma_F.C._players
Djibouti_(city)	wordnet_administrative_district_108491826
Milan_Purović	wikicat_Montenegrin_footballers
Rosa_Luxemburg	wikicat_Political_philosophers
Amy_Grant	wikicat_American_musicians
Fernando_Couto	wikicat_S.S._Lazio_players
Zé_Ramalho	wikicat_Epic_Records_artists
United_Arab_Emirates	wikicat_Western_Asian_countries
Mia_Farrow	wikicat_20th-century_American_actresses
Poltava	wikicat_Cities_in_Poltava_Oblast
John_Dewey	wikicat_Political_philosophers
João_Paulo_Oliveira	wikicat_Madureira_Esporte_Clube_players
Andrew_Julius	wikicat_Montserrat_international_footballers
Paul_Reiser	wikicat_American_male_stage_actors
Inter_Baku_PIK	wordnet_club_108227214
Timothy_Leary	wikicat_Psychedelic_researchers
Tehachapi,_California	wikicat_Populated_places_established_in_1909
João_Paulo_Daniel	wikicat_Expatriate_footballers_in_France
Brussels_South_Charleroi_Airport	wikicat_Airports_in_Belgium
Romário	wikicat_Association_football_forwards
Michael_Haneke	wikicat_Austrian_theatre_directors
Glyn_Hodges	wikicat_People_from_Lambeth_(London_borough)
John_Steinbeck	wikicat_Writers_from_California
John_Henry_Newman	wikicat_Victorian_writers
Sergio_Clerici	wikicat_S.S.C._Napoli_players
Robert_Siboldi	wikicat_Expatriate_footballers_in_Argentina
Delroy_Facey	wikicat_West_Bromwich_Albion_F.C._players
Dallas/Fort_Worth_International_Airport	wikicat_Airports_in_the_United_States
Torre_Annunziata	wordnet_site_108651247
Kraków_County	wordnet_administrative_district_108491826
Verdun	wordnet_commune_108541609
Sheffield	wordnet_administrative_district_108491826
Ricardo_Jesus	wikicat_AEL_1964_FC_players
Mithila,_India	wikicat_Places_in_the_Ramayana
Piteå	wordnet_administrative_district_108491826
Latvia	wikicat_Member_states_of_the_United_Nations
Azores	wikicat_Volcanic_islands
East_Timor	wikicat_Portuguese-speaking_countries_and_territories
Dave_Grusin	wikicat_American_jazz_pianists
Brøderbund	wikicat_Companies_established_in_1980
Bremen_(state)	wikicat_NUTS_1_statistical_regions_of_the_European_Union
Leopold_II,_Holy_Roman_Emperor	wikicat_Grand_Masters_of_the_Order_of_Saint_Stephen_of_Hungary
Everton_F.C.	wordnet_club_108227214
Krunoslav_Lovrek	wikicat_A-League_players
Gustaf_VI_Adolf_of_Sweden	wikicat_Knights_of_the_Elephant
Gary_Paulsen	wikicat_American_people
José_Emilio_Amavisca	wikicat_Olympic_medalists_in_football
Davide_Callà	wikicat_Servette_FC_players
Tomislav_Ivković	wikicat_Living_people
Jennifer_Love_Hewitt	wikicat_American_television_producers
Héctor_Mancilla	wikicat_Living_people
Leslie_Caron	wikicat_French_people_of_American_descent
Johnny_Woodly_Lambert	wikicat_Costa_Rican_expatriates_in_China
Viareggio	wikicat_Communes_of_the_Province_of_Lucca
Koei	wikicat_Companies_based_in_Yokohama
Hong_Kong	wikicat_Special_administrative_regions_of_China
Derby_County_F.C.	wikicat_Football_League_Championship_clubs
Gerry_Francis	wikicat_Exeter_City_F.C._managers
Grzegorz_Szamotulski	wikicat_Expatriate_footballers_in_Scotland
Katherine_Paterson	wikicat_Writers_from_Huai'an
Gloria_Swanson	wikicat_American_actors
Junior_Agogo	wikicat_Sheffield_Wednesday_F.C._players
Lima	wordnet_site_108651247
Chinese_Taipei_national_futsal_team	wordnet_team_108208560
Glen_Atle_Larsen	wikicat_Kolding_FC_players
George_Orwell	wikicat_20th-century_British_novelists
Jakarta	wikicat_Provinces_of_Indonesia
Immanuel_Kant	wikicat_German_agnostics
Subrahmanyan_Chandrasekhar	wikicat_Fellows_of_the_Royal_Society
England_national_under-19_football_team	wikicat_England_national_football_teams
Carole_King	wikicat_21st-century_American_singers
Wallace_Beery	wikicat_American_male_silent_film_actors
Cardiff_Metropolitan_University_F.C.	wordnet_club_108227214
Robert_da_Silva_Almeida	wikicat_People_from_Salvador,_Bahia
C.F._Atlante	wordnet_club_108227214
Andrei_Tarkovsky	wikicat_Russian_people
Steven_Pinker	wikicat_McGill_University_alumni
Judd_Apatow	wikicat_Film_directors_from_California
Simferopol_International_Airport	wordnet_airport_102692232
Göttingen	wikicat_Cities_in_Germany
Antonella_Gambotto-Burke	wikicat_20th-century_Australian_novelists
Lisbon	wikicat_Capitals_in_Europe
Laos	wikicat_French-speaking_countries_and_territories
Jeff_Bridges	wikicat_20th-century_American_male_actors
Maria_Theresa	wikicat_Rulers_of_Austria
Gmina_Żmudź	wordnet_administrative_district_108491826
Cristian_Maidana	wikicat_Philadelphia_Union_players
University_of_York	wikicat_Universities_in_England
Friesland	wikicat_Provinces_of_the_Netherlands
Dakar	wikicat_Populated_coastal_places_in_Senegal
Tommy_Duggan	wikicat_New_York_Field_Club_players
C.A._Lanús	wordnet_club_108227214
Caminha	wikicat_Municipalities_of_Viana_do_Castelo_District
Real_Valladolid	wikicat_Football_clubs_in_Spain
Barnsley_F.C.	wordnet_club_108227214
Italian_Communist_Party	wordnet_party_108256968
Seymour_Benzer	wikicat_American_geneticists
Salinas,_California	wikicat_Cities_in_Monterey_County,_California
Serhiy_Serebrennikov	wikicat_Russian_footballers
Alan_Blayney	wikicat_Ulster_Footballers_of_the_Year
The_Longest_Day_(film)	wikicat_World_War_II_films
Banská_Bystrica_Region	wikicat_Regions_of_Slovakia
Umberto_Lenzi	wikicat_Living_people
Michael_Ironside	wordnet_person_100007846
Tuscany	wikicat_Regions_of_Italy
Larry_David	wikicat_American_film_directors
Aalesunds_FK	wordnet_club_108227214
Adam_Smith	wikicat_Classical_liberals
Dakar	wikicat_Populated_places_established_in_1857
Drago_Jančar	wikicat_Slovenian_dramatists_and_playwrights
Flavio_Maestri	wikicat_2004_Copa_América_players
Abrar_Alvi	wikicat_Screenwriters
Orihuela_CF	wordnet_club_108227214
